t;q
0;0
2.4406779661016937;16.51225288029167
4;25.94976452119306
5.084745762711865;28.788281935981672
9.966101694915253;28.37479711571723
20;30.376766091051763
30.101694915254235;30.495702844371124
40;30.6114466647154
0;0
2.4406779661016937;34.87959981906715
3.8644067796610173;49.02509113162864
5.016949152542372;59.39972860069713
9.898305084745761;58.98624378043263
20;60.518053375196246
30.03389830508474;60.63619189527179
40;60.281776335045095
0;0
2.508474576271185;54.66061783253065
4;73.9874411302983
5.016949152542372;88.1281430433973
9.966101694915253;88.65737168400605
19.93220338983051;89.71662719846739
30.03389830508474;88.89364872415717
40;89.95290423861852
0;0
2.4406779661016937;66.43375994465583
4.067796610169491;92.35558630231753
4.949152542372881;117.79767448048321
9.966101694915253;118.7986589681505
20;120.32967032967034
29.966101694915253;119.5050953888726
40;120.5651491365777
0;0
2.4406779661016937;83.85919165580182
3.9322033898305087;119.66953143708591
4.949152542372881;147.46800415081287
9.966101694915253;148.93994625229493
20.06779661016949;150.00079823324376
30.101694915254235;150.58989436713406
40;150.2346805736636
0.2033898305084758;0.002394699731212313
2.508474576271185;94.22105739297024
4.067796610169491;143.21900859431125
5.016949152542372;176.66817444057153
9.898305084745761;175.7837320064923
20;178.72841444270017
30.101694915254235;178.84735119601947
40;179.4348508634223
0;0
2.5762711864406764;119.65356677221084
4;182.77864992150705
5.084745762711865;226.11952212436472
9.83050847457627;225.23348322379798
20;231.94662480376763
30.101694915254235;233.94939201234598
40;235.94976452119306
0;0
2.508474576271185;159.6841657132214
3.9322033898305087;220.45446079344384
4.949152542372881;280.749008860389
9.966101694915253;278.92424766516774
20.06779661016949;282.81084532900513
30.101694915254235;282.9289838490807
40;284.92935635792776
