50rpm,,225rpm,,400rpm,
t,cb,t,cb,t,cb
0,500,0,500,0,500
1.8619582664526604,473.8808539658514,1.8619582664526568,462.79277106429697,1.8619582664526604,462.6891441212918
4.0288924558587595,453.87636291053656,3.9486356340289035,447.14077795058176,4.109149277688616,437.39951263733064
6.115569823435003,448.17255632531874,6.195826645264855,440.40036926454815,6.115569823435003,434.4937998486348
7.961476725521681,442.987383461273,7.961476725521678,436.0443782799258,7.961476725521678,432.10655444572893
10.04815409309792,441.3250276532573,10.048154093097917,433.13849915584797,9.967897271268065,430.02985720107455
15.104333868378816,434.47517028584735,15.024077046548953,427.2214506108667,15.104333868378816,425.35599930139136
20.080256821829863,430.216152828949,20,422.9624331539684,24.97592295345104,417.563519324013
25.056179775280903,424.81723899899373,24.97592295345104,419.6360581841167,30.032102728731935,414.23697801877927
30.1123595505618,423.14872878184286,30.032102728731935,416.3095168788829,39.98394863563403,410.2785285972106
39.98394863563403,420.226715125708,39.98394863563403,412.6619482863298,49.93579454253613,406.3200791756419
49.93579454253613,418.65168539325845,49.935794542536115,409.1180066367818,59.887640449438194,404.3305416711716
59.887640449438194,416.3512670597727,59.807383627608345,408.1649048977454,80.03210272873191,402.83801428820937
80.03210272873193,414.5478588477948,80.03210272873193,406.4649572933907,100.01605136436595,401.44944651901636
100.01605136436595,414.1955605086536,100.01605136436594,405.0763895241977,119.8394863563403,400.68297307861843
119.83948635634025,413.3254601252506,119.8394863563403,404.72442385582053,20,422.65155232495283
